id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
21,23,198.71221260003674,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.4185437947427103,21.786288608468713,21.79047619047619,23.29047619047619,83.11428571428573,84.61428571428573,198.71221260003674,7,771.5106296989056,-190.35554702877872,3587.80065834631,2327.6455029080134,894.1631602174011,-6.550579753622573
22,24,188.75470529026848,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.4255279748060659,21.216383620667372,21.219047619047622,22.719047619047622,75.70476190476191,77.20476190476191,188.75470529026848,7,728.3784519278447,-185.37231103791856,3455.7050490946144,2145.6711204504268,791.208101372029,-6.691496044728287
23,25,179.5992769350877,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.43306386325010926,20.655840966613287,20.65714285714286,22.15714285714286,68.8952380952381,70.3952380952381,179.5992769350877,7,687.4586633602689,-179.9158913998983,3331.7754754357247,1980.6729601517968,700.9327169887035,-6.829508228541112
24,26,171.1355449134329,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.44066997434954863,20.1087221686297,20.114285714285717,21.614285714285717,62.68571428571429,64.18571428571428,171.1355449134329,7,648.8865536672993,-174.1978755893558,3216.1805583788378,1831.035204809565,621.526888114844,-6.9647846946552585
25,21,228.10468880890375,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2605048494456751,22.826550534254306,22.82857142857143,24.32857142857143,106.95238095238096,108.45238095238096,228.10468880890375,7,879.5074540589598,-116.03541269216684,4037.70817221443,2909.9415467328317,1357.9573892976848,-6.259242454219656
26,22,216.34412026446665,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2660737566831382,22.274867913852955,22.27619047619048,23.77619047619048,98.05714285714286,99.55714285714286,216.34412026446665,7,832.0351580283402,-115.18873156164399,3888.6334900981637,2682.0684157470223,1216.5220051843453,-6.406567011069235
27,23,205.4878999834577,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.271362580685351,21.728081657774602,21.733333333333334,23.233333333333334,89.91428571428573,91.41428571428573,205.4878999834577,7,787.0280088115994,-113.55071454105038,3748.423700227827,2475.7764404120244,1091.5802742901803,-6.550580498006883
28,24,195.4674173331929,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.27685490702561155,21.185893068347774,21.190476190476193,22.690476190476193,82.41904761904763,83.91904761904763,195.4674173331929,7,744.21245626305,-111.23706936656599,3616.1356124022477,2288.333032228778,981.1311399118046,-6.691496144537801
29,25,186.22501504807119,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2819879275812245,20.651729671881192,20.65714285714286,22.15714285714286,75.52380952380953,77.02380952380953,186.22501504807119,7,703.6866865428372,-108.527163874315,3491.7675909266873,2118.143797697975,883.4122340533926,-6.829507775353332
30,26,177.6581424717256,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2871603093372595,20.128214129492306,20.133333333333336,21.633333333333336,69.20952380952382,70.70952380952382,177.6581424717256,7,665.4345497141153,-105.4970231962309,3375.166563811424,1963.2623296270506,796.8255374697137,-6.964786769365923
